menu_name,menu_price,shop_id,,
오리지널 양꼬치,18000 ,1 ,,
고급양갈비,35000 ,1 ,,
송화양꼬치(10꼬치),16000 ,1 ,,
양갈비살,25000 ,1 ,,
소꼬치,22000 ,1 ,,
꿔보로우,18000 ,1 ,,
가지튀김,15000 ,1 ,,
닭똥집,13000 ,1 ,,
새우,13000 ,1 ,,
돼지심장,13000 ,1 ,,
소떡심,13000 ,1 ,,
닭날개,13000 ,1 ,,
어향육슬,15000 ,1 ,,
향라육슬,15000 ,1 ,,
경장육,15000 ,1 ,,
오징어입 ,7000 ,2 ,,
먹태,14000 ,2 ,,
갈릭빠다 포테이토,7000 ,2 ,,
옛날통닭(한마리)12000,12000 ,2 ,,
옛날통닭(반마리)12000,6000 ,2 ,,
버터구이오징어입,8000 ,2 ,,
할멘보샤,10000 ,2 ,,
한치,9000 ,2 ,,
양념먹태,14000,2 ,,
후라이드(뼈치킨)한마리,9900 ,3 ,,
후라이드(뼈치킨)반마리,6000 ,3 ,,
간장 뼈치킨 한마리,11500,3 ,,
간장 순살 한마리 ,13000,3 ,,
"간장 뼈치킨 반마리
",6500,3 ,,
간장 순살 반마리 ,7500,3 ,,
마늘간장 뼈치킨 한마리,12000,3 ,,
마늘간장 순살 한마리,14000,3 ,,
마늘간장 뼈치킨 반마리,7000,3 ,,
마늘간장 순살 치킨 반마리,8000,3 ,,
파닭 뼈치킨 한마리,13000,3 ,,
파닭 뼈치킨 반마리 ,7500,3 ,,
후라이드(반) + 양념 or 간장(반),11000,3 ,,
후라이드(반) + 양념 or 간장(순살),12500,3 ,,
후라이드(반) + 마늘간장,11500,3 ,,
후라이드(반) + 마늘간장(순살),13500,3 ,,
간장(반) + 양념(반)12000,,3 ,,
간장(반) + 양념(반)12000(순살),14000,3 ,,
순한양념(반) + 매운양념(반),12000,3 ,,
순한양념(반) + 매운양념(반) (순살),14000,3 ,,
양념 or 간장(반) + 마늘간장,12500,3 ,,
양념 or 간장(반) + 마늘간장(순살),145000,3 ,,
닭다리 8개,13000,3 ,,
닭다리 4개,7000,3 ,,
감자튀김 추가,4000,3 ,,
숙성 삼겹살 한판 600g,25900,4 ,,
숙성 목살 한판 600g,25900,4 ,,
숙성 삼겹살 반판 300g,15900,4 ,,
숙성 목살 반판 300g,15900,4 ,,
돼지갈비 250~300g,11900,4 ,,
소갈비살,13900,4 ,,
돼지막창양념구이(1인분),14000,5 ,,
한우소곱창구이(1인분)25000,25000,5 ,,
치즈곱창(2인분),28000,5 ,,
치즈곱창(3인분),42000,5 ,,
한우곱창모듬한판,47000,5 ,,
한우대창구이,24000,5 ,,
한우모듬양념구이,49000,5 ,,
페퍼로니페스츄리피자,13900,6,,
먹태킹,13900,6,,
새우살타워링,14900,6,,
치즈볼&리코타샐러드,15900,6,,
아이스과일펀치,15900,6,,
반반치킨,18900,6,,
통오징어한판떡볶킹,19900,6,,
곱도리탕,22900,6,,
미니소세지,6000,7,,
미니핫도그,7000,7,,
모듬튀김,7000,7,,
모듬감자,9000,7,,
어니언링,7000,7,,
감자튀김 S,4000,7,,
감자튀김 M,5000,7,,
감자튀김 L,6500,7,,
순살치킨 가라아게,10000,7,,
핫윙,10000,7,,
치즈감자볼,6000,7,,
새우볼,6000,7,,
치즈스틱,4000,7,,
쥐포튀김,3000,7,,
치킨텐더,9000,7,,
까르보나라,12000,8,,
새우 로제 파스타,13000,8,,
새우한치따야린,15000,8,,
흑돼지 라구 딸리아뗄레,16000,8,,
감자뇨끼,16000,8,,
새우 엔초비 오일 그라탕,18000,8,,
생합찜,18000,8,,
트리빠,20000,8,,
가지구이,18000,8,,
포르게타,24000,8,,
샤브세트,12000,9,,
홍합짬뽕,9000,10,,
빙하 군만두,10000,10,,
미니탕수육,10000,10,,
짜장면,6000,10,,
간짜장,7000,10,,
수제 고기 군만두,8000,10,,
천미향초면,11000,10,,
팔진초면,15000,10,,
탕수육,18000,10,,
사천탕수육,20000,10,,
새우볶음밥,9000,10,,
베이컨볶음밥,10000,10,,
어향동고,38000,10,,
소고기난자완스,36000,10,,
팔보채,40000,10,,
양장피,33000,10,,
유산슬,32000,10,,
크림새우,30000,10,,
칠리새우,30000,10,,
깐풍기,27000,10,,
삼선짜장,10000,10,,
해물쟁반짜장,10000,10,,
해물볶음짬뽕,10000,10,,
짬뽕밥,8000,10,,
고기짬뽕,8000,10,,
삼선우동,10000,10,,
삼선짬뽕,10000,10,,
와인 한 잔,2900,11,,
하몽 크룽지,12900,11,,
명란구이 크래커,6900,11,,
명란 크림 파스타,12900,11,,
과일 & 치즈 플래터,29900,11,,
마스카포네 치즈 & 크래커,5900,11,,
레드 감바스,14900,11,,
부라타 토마토,9900,11,,
치킨 & 치즈볼,12900,11,,
매콤 쌀떡볶이,9900,11,,
깍두기 치즈 볶음밥,8900,11,,
쉬림프 로제 파스타,12900,11,,
오늘 스테이크,15900,11,,